Authors,Authors (Full Names),Beginning Page,DOI,ISSN,Journal Title (Full),New ISI Keywords,Original Keywords,Publication Year,Research Field,Times Cited,Title,Unique ID,Version Number,Volume,PM,File Name,Cite Me As
"Gong, T|Shuai, L","Gong, Tao|Shuai, Lan",4643,10.1098/rspb.2012.1431,0962-8452,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,EVOLUTION |PROTOLANGUAGE |EMERGENCE |COGNITION |COMMUNICATION |ADAPTATION |CATEGORIES |CHILDREN |ORIGIN |AUTISM,joint attention|language origin|coevolution|ratchet effect|computer simulation,2012,Biology|Ecology|Evolutionary Biology,8,Modelling the coevolution of joint attention and language,WOS:000310218400017,1,279,22977146,D:\Users\mginda\Desktop\savedrecs(10).txt,"Gong T, 2012, V279, P4643, DOI 10.1098/rspb.2012.1431"
"Johnson, RL|Eisler, ME","Johnson, Rebecca L.|Eisler, Morgan E.",336,10.1016/j.actpsy.2012.09.013,0001-6918,ACTA PSYCHOLOGICA,EYE-MOVEMENT CONTROL |LEXICAL ACCESS |SERIAL-POSITION |INFORMATION-INTEGRATION |HEMISPHERIC-SPECIALIZATION |ORTHOGRAPHIC FAMILIARITY |FIXATION LOCATIONS |LETTER RECOGNITION |SELECTIVE-MASKING |SPACE INFORMATION,Exterior letters|Reading|Eye-movements|Transposed-letters|Crowding,2012,"Psychology, Experimental",8,The importance of the first and last letter in words during sentence reading,WOS:000311774100008,1,141,23089042,D:\Users\mginda\Desktop\savedrecs(10).txt,"Johnson RL, 2012, V141, P336, DOI 10.1016/j.actpsy.2012.09.013"
"Louwerse, MM|Benesh, N","Louwerse, Max M.|Benesh, Nick",1556,10.1111/cogs.12000,0364-0213,COGNITIVE SCIENCE,COGNITIVE MAPS |ENVIRONMENTS |KNOWLEDGE |MODEL |PERSPECTIVE |NAVIGATION |JUDGMENTS,Spatial cognition|Embodied cognition|Geographical structures|Cognitive maps|Mental representations|Symbol interdependency|Latent semantic analysis,2012,"Psychology, Experimental",5,Representing Spatial Structure Through Maps and Language: Lord of the Rings Encodes the Spatial Structure of Middle Earth,WOS:000310603000010,1,36,23033971,D:\Users\mginda\Desktop\savedrecs(10).txt,"Louwerse MM, 2012, V36, P1556, DOI 10.1111/cogs.12000"
"Johnson, RL|Staub, A|Fleri, AM","Johnson, Rebecca L.|Staub, Adrian|Fleri, Amanda M.",1773,10.1037/a0028222,0278-7393,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,VISUAL WORD RECOGNITION |RESPONSE-TIME DISTRIBUTIONS |EYE FIXATION DURATIONS |LEXICAL DECISION |FREQUENCY |MODEL |MOVEMENT |IDENTIFICATION |STATISTICS |ORDER,reading|transposed letters|neighborhood effects|ex-Gaussian distribution,2012,"Psychology|Psychology, Experimental",4,Distributional Analysis of the Transposed-Letter Neighborhood Effect on Naming Latency,WOS:000310126200021,1,38,22563634,D:\Users\mginda\Desktop\savedrecs(10).txt,"Johnson RL, 2012, V38, P1773, DOI 10.1037/a0028222"
"Takac, M|Benuskova, L|Knott, A","Takac, Martin|Benuskova, Lubica|Knott, Alistair",288,10.1016/j.cognition.2012.06.006,0010-0277,COGNITION,VISUAL OBJECT RECOGNITION |MIRROR NEURON SYSTEM |PREMOTOR CORTEX |PREFRONTAL CORTEX |TEMPORAL CORTEX |REPRESENTATIONS |MOTOR |MECHANISMS |MOVEMENT |COGNITION,Sentence generation|Neural networks|Language acquisition|Embodied cognition,2012,"Psychology, Experimental",4,Mapping sensorimotor sequences to word sequences: A connectionist model of language acquisition and sentence generation,WOS:000309949300012,1,125,22863413,D:\Users\mginda\Desktop\savedrecs(10).txt,"Takac M, 2012, V125, P288, DOI 10.1016/j.cognition.2012.06.006"
"Minai, U|Jincho, N|Yamane, N|Mazuka, R","Minai, Utako|Jincho, Nobuyuki|Yamane, Naoto|Mazuka, Reiko",919,10.1017/S0305000911000316,0305-0009,JOURNAL OF CHILD LANGUAGE,CARD SORT TASK |SPEECH-PERCEPTION |SPOKEN LANGUAGE |YOUNG-CHILDREN |INHIBITION |MEMORY |MIND,,2012,"Psychology, Developmental|Linguistics|Psychology, Experimental",4,What hinders child semantic computation: children's universal quantification and the development of cognitive control,WOS:000309726900001,1,39,22182242,D:\Users\mginda\Desktop\savedrecs(10).txt,"Minai U, 2012, V39, P919, DOI 10.1017/S0305000911000316"
"Bell, E|Seidel, BM","Bell, Erica|Seidel, Bastian M.",,10.1186/1471-2458-12-932,1471-2458,BMC PUBLIC HEALTH,DISCOURSE ANALYSIS |PUBLIC-POLICY |PRIMARY-CARE |P-VALUES |MAKERS |MEDICINE |SERVICES |PERSPECTIVE |LEXIMANCER |RESOURCES,Evidence translation|Evidence-practice divide|Evidence for policy|Local community health research,2012,"Public, Environmental & Occupational Health",2,The evidence-policy divide: a 'critical computational linguistics' approach to the language of 18 health agency CEOs from 9 countries,WOS:000312002900001,1,12,23110541,D:\Users\mginda\Desktop\savedrecs(10).txt,"Bell E, 2012, V12, DOI 10.1186/1471-2458-12-932"
"Rohrmeier, M|Fu, QF|Dienes, Z","Rohrmeier, Martin|Fu, Qiufang|Dienes, Zoltan",,10.1371/journal.pone.0045885,1932-6203,PLOS ONE,ARTIFICIAL GRAMMAR |NONADJACENT DEPENDENCIES |UNCONSCIOUS KNOWLEDGE |LANGUAGE-ACQUISITION |SYNTACTIC STRUCTURES |8-MONTH-OLD INFANTS |SUBJECTIVE MEASURES |WORD SEGMENTATION |ORDER |BRAIN,,2012,Multidisciplinary Sciences,9,Implicit Learning of Recursive Context-Free Grammars,WOS:000310050200006,1,7,23094021,D:\Users\mginda\Desktop\savedrecs(10).txt,"Rohrmeier M, 2012, V7, DOI 10.1371/journal.pone.0045885"
"Karlsson, F|van Doorn, J","Karlsson, Fredrik|van Doorn, Jan",2633,10.1121/1.4746025,0001-4966,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,AMYOTROPHIC-LATERAL-SCLEROSIS |SPEECH-INTELLIGIBILITY |PERCEPTUAL FINDINGS |PARKINSON-DISEASE |SPEAKING RATE |SPACE |DYSARTHRIA |SPEAKERS |MANIPULATIONS |INDIVIDUALS,,2012,Acoustics|Audiology & Speech-Language Pathology,1,Vowel formant dispersion as a measure of articulation proficiency,WOS:000309650600065,1,132,23039456,D:\Users\mginda\Desktop\savedrecs(10).txt,"Karlsson F, 2012, V132, P2633, DOI 10.1121/1.4746025"
"Kubler, S|Mohamed, E","Kuebler, Sandra|Mohamed, Emad",521,10.1017/S1351324911000325,1351-3249,NATURAL LANGUAGE ENGINEERING,,,2012,"Computer Science, Artificial Intelligence|Linguistics|Language & Linguistics",0,Part of speech tagging for Arabic,WOS:000311685900003,1,18,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Kubler S, 2012, V18, P521, DOI 10.1017/S1351324911000325"
"Frost, R","Frost, Ram",263,10.1017/S0140525X11001841,0140-525X,BEHAVIORAL AND BRAIN SCIENCES,VISUAL WORD RECOGNITION |INTERACTIVE ACTIVATION MODEL |SIMILARITY EFFECTS OCCUR |PARAFOVEAL PREVIEW BENEFIT |LETTER POSITION DYSLEXIA |EYE-MOVEMENTS |PHONOLOGICAL COMPUTATION |PRINTED WORD |MORPHOLOGICAL STRUCTURE |LITERACY ACQUISITION,learning models|letter position coding|lexical organization|lexical space|morphological processing|structured models|visual word recognition,2012,"Psychology, Biological|Behavioral Sciences|Neurosciences",61,Towards a universal model of reading,WOS:000310314600001,1,35,22929057,D:\Users\mginda\Desktop\savedrecs(10).txt,"Frost R, 2012, V35, P263, DOI 10.1017/S0140525X11001841"
"Lakoff, G","Lakoff, George",773,10.1111/j.1756-8765.2012.01222.x,1756-8757,TOPICS IN COGNITIVE SCIENCE,CATEGORIES |LANGUAGE |OBJECTS |TIME,Embodiment|Embodied cognition|Metaphor|Cognitive linguistics|Lakoff,2012,"Psychology, Experimental",17,Explaining Embodied Cognition Results,WOS:000309747900022,1,4,22961950,D:\Users\mginda\Desktop\savedrecs(10).txt,"Lakoff G, 2012, V4, P773, DOI 10.1111/j.1756-8765.2012.01222.x"
"Kemp, C","Kemp, Charles",685,10.1037/a0029347,0033-295X,PSYCHOLOGICAL REVIEW,BOOLEAN CONCEPTS |RESPONSE-TIMES |CLASSIFICATION |RULES |COMPLEXITY |SIMILARITY |MODEL |CATEGORIZATION |SIMPLICITY |PRINCIPLES,concept learning|compositionality|conceptual complexity|minimum description length|predicate logic,2012,"Psychology|Psychology, Multidisciplinary",7,Exploring the Conceptual Universe,WOS:000309899500001,1,119,22924770,D:\Users\mginda\Desktop\savedrecs(10).txt,"Kemp C, 2012, V119, P685, DOI 10.1037/a0029347"
"Magliano, JP|Graesser, AC","Magliano, Joseph P.|Graesser, Arthur C.",608,10.3758/s13428-012-0211-3,1554-351X,BEHAVIOR RESEARCH METHODS,LATENT SEMANTIC ANALYSIS |NATURAL-LANGUAGE |COH-METRIX |LINGUISTIC FEATURES |SELF-EXPLANATIONS |TEXT |COMPREHENSION |DISCOURSE |REPRESENTATIONS |AUTOTUTOR,Natural language processing|Student constructed responses|Computer-based assessment,2012,"Psychology, Mathematical|Psychology, Experimental",6,Computer-based assessment of student-constructed responses,WOS:000314571200002,1,44,22581494,D:\Users\mginda\Desktop\savedrecs(10).txt,"Magliano JP, 2012, V44, P608, DOI 10.3758/s13428-012-0211-3"
"Hastings, P|Hughes, S|Magliano, JP|Goldman, SR|Lawless, K","Hastings, Peter|Hughes, Simon|Magliano, Joseph P.|Goldman, Susan R.|Lawless, Kimberly",622,10.3758/s13428-012-0214-0,1554-351X,BEHAVIOR RESEARCH METHODS,LATENT SEMANTIC ANALYSIS |TEXT CLASSIFICATION |TASK |WORDS,Multiple documents integration|Natural language processing|Reading|Writing,2012,"Psychology, Mathematical|Psychology, Experimental",3,Assessing the use of multiple sources in student essays,WOS:000314571200003,1,44,22653561,D:\Users\mginda\Desktop\savedrecs(10).txt,"Hastings P, 2012, V44, P622, DOI 10.3758/s13428-012-0214-0"
"Kievit-Kylar, B|Jones, MN","Kievit-Kylar, Brent|Jones, Michael N.",656,10.3758/s13428-012-0236-7,1554-351X,BEHAVIOR RESEARCH METHODS,LATENT SEMANTIC ANALYSIS |FEATURE PRODUCTION NORMS |SPREADING ACTIVATION |LEXICAL DECISION |LARGE SET |REPRESENTATIONS |KNOWLEDGE |COOCCURRENCE |INFORMATION |MODEL,Visualization|Semantic similarity space|Corpus-based models|Latent semantic analysis,2012,"Psychology, Mathematical|Psychology, Experimental",3,Visualizing multiple word similarity measures,WOS:000314571200006,1,44,22810803,D:\Users\mginda\Desktop\savedrecs(10).txt,"Kievit-Kylar B, 2012, V44, P656, DOI 10.3758/s13428-012-0236-7"
"Izura, C|Playfoot, D","Izura, Cristina|Playfoot, David",862,10.3758/s13428-011-0175-8,1554-351X,BEHAVIOR RESEARCH METHODS,AGE-OF-ACQUISITION |VISUAL WORD RECOGNITION |SPELLING-SOUND CONSISTENCY |AFFECTS OBJECT RECOGNITION |LEXICAL DECISION |READING ALOUD |ORTHOGRAPHIC NEIGHBORHOOD |CUMULATIVE FREQUENCY |SEMANTIC DEMENTIA |TIME-COURSE,Acronyms|Norms|Age of acquisition|Imageability|Acronym frequency|Acronym length,2012,"Psychology, Mathematical|Psychology, Experimental",6,A normative study of acronyms and acronym naming,WOS:000314571200018,1,44,22180103,D:\Users\mginda\Desktop\savedrecs(10).txt,"Izura C, 2012, V44, P862, DOI 10.3758/s13428-011-0175-8"
"Bullinaria, JA|Levy, JP","Bullinaria, John A.|Levy, Joseph P.",890,10.3758/s13428-011-0183-8,1554-351X,BEHAVIOR RESEARCH METHODS,CORPORA,Semantic representation|Corpus statistics|SVD,2012,"Psychology, Mathematical|Psychology, Experimental",12,"Extracting semantic representations from word co-occurrence statistics: stop-lists, stemming, and SVD",WOS:000314571200019,1,44,22258891,D:\Users\mginda\Desktop\savedrecs(10).txt,"Bullinaria JA, 2012, V44, P890, DOI 10.3758/s13428-011-0183-8"
"Verdonschot, RG|Middelburg, R|Lensink, SE|Schiller, NO","Verdonschot, Rinus G.|Middelburg, Renee|Lensink, Saskia E.|Schiller, Niels O.",343,10.1016/j.cognition.2012.05.019,0010-0277,COGNITION,SPEECH PRODUCTION |LEXICAL ACCESS |BILINGUAL SPEECH |SEMANTIC COMPETITOR |COMPLEX WORDS |SELECTION |INTERFERENCE |INHIBITION |ACTIVATION |INTERPLAY,Psycholinguistics|Bilingual language processing|Language production|Morphological processing|Language switching,2012,"Psychology, Experimental",2,Morphological priming survives a language switch,WOS:000312359200008,1,124,22743054,D:\Users\mginda\Desktop\savedrecs(10).txt,"Verdonschot RG, 2012, V124, P343, DOI 10.1016/j.cognition.2012.05.019"
"Huette, S|Anderson, S","Huette, Stephanie|Anderson, Sarah",295,10.1142/S0219635212500239,0219-6352,JOURNAL OF INTEGRATIVE NEUROSCIENCE,SYNTACTIC AMBIGUITY RESOLUTION |VERB ASPECT |LANGUAGE COMPREHENSION |LEXICAL AMBIGUITY |SITUATION MODELS |TEXT INFORMATION |PERCEPTION |DYNAMICS |REPRESENTATIONS |INTEGRATION,Negation|distributed representations|embodied cognition|perceptual simulation|semantic space|network simulation|sentence processing,2012,Neurosciences,1,Negation without symbols: the importance of recurrence and context in linguistic negation,WOS:000309363800005,1,11,22985351,D:\Users\mginda\Desktop\savedrecs(10).txt,"Huette S, 2012, V11, P295, DOI 10.1142/S0219635212500239"
"Peled, Y|Rafaely, B","Peled, Yotam|Rafaely, Boaz",1473,10.1121/1.4742698,0001-4966,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,PLANE-WAVE DECOMPOSITION |SOUND-FIELD |INTELLIGIBILITY |ACOUSTICS |DESIGN,,2012,Acoustics|Audiology & Speech-Language Pathology,2,Objective performance analysis of spherical microphone arrays for speech enhancement in rooms,WOS:000309155000039,1,132,22978876,D:\Users\mginda\Desktop\savedrecs(10).txt,"Peled Y, 2012, V132, P1473, DOI 10.1121/1.4742698"
"Cohen, SB|Smith, NA","Cohen, Shay B.|Smith, Noah A.",479,,0891-2017,COMPUTATIONAL LINGUISTICS,LOCAL RADEMACHER COMPLEXITIES |FINITE AUTOMATA |LEARNABILITY |INFERENCE |ALGORITHM |MODEL,,2012,"Computer Science, Artificial Intelligence|Computer Science, Interdisciplinary Applications|Linguistics|Language & Linguistics",1,Empirical Risk Minimization for Probabilistic Grammars: Sample Complexity and Hardness of Learning,WOS:000308083100003,1,38,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Cohen SB, 2012, V38, P479"
"Boleda, G|Schulte, S|Badia, T","Boleda, Gemma|Schulte, Sabine|Badia, Toni",575,,0891-2017,COMPUTATIONAL LINGUISTICS,DISAMBIGUATION,,2012,"Computer Science, Artificial Intelligence|Computer Science, Interdisciplinary Applications|Linguistics|Language & Linguistics",3,Modeling Regular Polysemy: A Study on the Semantic Classification of Catalan Adjectives,WOS:000308083100005,1,38,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Boleda G, 2012, V38, P575"
"Dove, G","Dove, Guy",615,10.1007/s10539-012-9324-4,0169-3867,BIOLOGY & PHILOSOPHY,LANGUAGE IMPAIRMENT |DOWN-SYNDROME |BEHAVIORAL-DEVELOPMENT |WILLIAMS-SYNDROME |ACQUISITION |CHILDREN |AUTISM |SENSITIVITY |SPEECH |CONSTRAINTS,Development|Generative entrenchment|Grammar|Innateness|Language acquisition|Syntax,2012,History & Philosophy Of Science,3,Grammar as a developmental phenomenon,WOS:000307759800001,1,27,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Dove G, 2012, V27, P615, DOI 10.1007/s10539-012-9324-4"
"Sato, Y","Sato, Yosuke",287,10.1111/j.1467-9612.2012.00168.x,1368-0005,SYNTAX-A JOURNAL OF THEORETICAL EXPERIMENTAL AND INTERDISCIPLINARY RESEARCH,AUXILIARY REDUCTION |ENGLISH |MOVEMENT |RULES |COMPLEMENTIZERS |CONSTRAINTS |PRO,,2012,Linguistics|Language & Linguistics,0,Multiple Spell-Out and Contraction at the Syntax-Phonology Interface,WOS:000306737000003,1,15,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Sato Y, 2012, V15, P287, DOI 10.1111/j.1467-9612.2012.00168.x"
"Schwartz, JL|Basirat, A|Menard, L|Sato, M","Schwartz, Jean-Luc|Basirat, Anahita|Menard, Lucie|Sato, Marc",336,10.1016/j.jneuroling.2009.12.004,0911-6044,JOURNAL OF NEUROLINGUISTICS,DISPERSION-FOCALIZATION-THEORY |AUDIOVISUAL SPEECH |ARTICULATORY MODEL |COMPENSATION STRATEGIES |FUNCTIONAL NEUROANATOMY |VERBAL TRANSFORMATIONS |MAGNETIC STIMULATION |VOWEL PERCEPTION |MIRROR NEURONS |FRENCH VOWELS,Perceptuo-motor interaction|Speech perception|Vowel perception|Perceptual organisation|Multisensory interactions|Neurocomputational model|Dorsal route,2012,"Linguistics|Neurosciences|Psychology, Experimental",44,The Perception-for-Action-Control Theory (PACT): A perceptuo-motor theory of speech perception,WOS:000304893400004,1,25,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Schwartz JL, 2012, V25, P336, DOI 10.1016/j.jneuroling.2009.12.004"
"Calabrese, A","Calabrese, Andrea",355,10.1016/j.jneuroling.2011.03.005,0911-6044,JOURNAL OF NEUROLINGUISTICS,MISMATCH NEGATIVITY MMN |HUMAN BRAIN |WORD RECOGNITION |WORKING-MEMORY |TEMPORAL INTEGRATION |LEXICAL ACCESS |LANGUAGE |SOUND |CORTEX |DEAFNESS,Phonological illusions|Top-down and bottom-up speech perception|Analysis-by-synthesis|Echoic memory|Phonology|Distinctive features|Auditory representations|Syllable structure|Mirror neurons,2012,"Linguistics|Neurosciences|Psychology, Experimental",2,Auditory representations and phonological illusions: A linguist's perspective on the neuropsychological bases of speech perception,WOS:000304893400005,1,25,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Calabrese A, 2012, V25, P355, DOI 10.1016/j.jneuroling.2011.03.005"
"Rizzi, L","Rizzi, Luigi",489,10.1016/j.jneuroling.2009.12.005,0911-6044,JOURNAL OF NEUROLINGUISTICS,BROCAS AREA |LANGUAGE,Language|Syntax|Computations|Minimalism|Parameters|Language acquisition|Merge|Movement,2012,"Linguistics|Neurosciences|Psychology, Experimental",1,Core linguistic computations: How are they expressed in the mind/brain?,WOS:000304893400010,1,25,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Rizzi L, 2012, V25, P489, DOI 10.1016/j.jneuroling.2009.12.005"
"de Filippo, C|Bostoen, K|Stoneking, M|Pakendorf, B","de Filippo, Cesare|Bostoen, Koen|Stoneking, Mark|Pakendorf, Brigitte",3256,10.1098/rspb.2012.0318,0962-8452,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,Y-CHROMOSOMES |LANGUAGE |HISTORY |MTDNA |POPULATION |AFRICA |ANGOLA,human migration|mtDNA|Y chromosome|autosome|lexical data|Bantu,2012,Biology|Ecology|Evolutionary Biology,22,Bringing together linguistic and genetic evidence to test the Bantu expansion,WOS:000306335300019,1,279,22628476,D:\Users\mginda\Desktop\savedrecs(10).txt,"de Filippo C, 2012, V279, P3256, DOI 10.1098/rspb.2012.0318"
"Marian, V|Bartolotti, J|Chabal, S|Shook, A","Marian, Viorica|Bartolotti, James|Chabal, Sarah|Shook, Anthony",,10.1371/journal.pone.0043230,1932-6203,PLOS ONE,PSYCHOLINGUISTIC STATISTICS |SPEECH PRODUCTION |LEXICAL DECISION |FILM SUBTITLES |FREQUENCY |PROGRAM |ENGLISH |SPANISH |SIMILARITY |ACTIVATION,,2012,Multidisciplinary Sciences,12,CLEARPOND: Cross-Linguistic Easy-Access Resource for Phonological and Orthographic Neighborhood Densities,WOS:000307733800055,1,7,22916227,D:\Users\mginda\Desktop\savedrecs(10).txt,"Marian V, 2012, V7, DOI 10.1371/journal.pone.0043230"
"Battaglia, FP|Borensztajn, G|Bod, R","Battaglia, Francesco P.|Borensztajn, Gideon|Bod, Rens",1626,10.1016/j.neubiorev.2012.04.004,0149-7634,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,MEDIAL TEMPORAL-LOBE |PERIRHINAL CORTEX |OBJECT RECOGNITION |SPATIAL MEMORY |HIPPOCAMPAL REPLAY |VISUAL-CORTEX |PLACE CELLS |PREFRONTAL CORTEX |SEMANTIC MEMORY |EPISODIC MEMORY,Semantic memory|Episodic memory|Language acquisition|Computational modeling,2012,Behavioral Sciences|Neurosciences,6,Structured cognition and neural systems: From rats to language,WOS:000308052300005,1,36,22537592,D:\Users\mginda\Desktop\savedrecs(10).txt,"Battaglia FP, 2012, V36, P1626, DOI 10.1016/j.neubiorev.2012.04.004"
"Sidtis, DV|Cameron, K|Sidtis, JJ","Sidtis, Diana Van Lancker|Cameron, Krista|Sidtis, John J.",695,10.3109/02699206.2012.696307,0269-9206,CLINICAL LINGUISTICS & PHONETICS,DEEP BRAIN-STIMULATION |BASAL GANGLIA CIRCUITS |EXTERNAL TIMING CUES |FORMULAIC EXPRESSIONS |COMPUTATIONAL MODEL |SPEAKING RATE |DISEASE |LANGUAGE |INTELLIGIBILITY |DYSARTHRIA,task effects|Parkinson's disease|dysfluency|motor speech planning|basal ganglia,2012,Audiology & Speech-Language Pathology|Linguistics|Rehabilitation,4,Dramatic effects of speech task on motor and linguistic planning in severely dysfluent parkinsonian speech,WOS:000306191900003,1,26,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Sidtis DV, 2012, V26, P695, DOI 10.3109/02699206.2012.696307"
"Stramandinoli, F|Marocco, D|Cangelosi, A","Stramandinoli, Francesca|Marocco, Davide|Cangelosi, Angelo",165,10.1016/j.neunet.2012.02.012,0893-6080,NEURAL NETWORKS,COMMUNICATION |CONCRETENESS |SYSTEMS |IMAGES |WORDS |MIND,Symbol grounding|Abstract language|Computational modelling|Recurrent neural network|Developmental cognitive robotics,2012,"Computer Science, Artificial Intelligence|Neurosciences",5,The grounding of higher order concepts in action and language: A cognitive robotics model,WOS:000306162600018,1,32,22386502,D:\Users\mginda\Desktop\savedrecs(10).txt,"Stramandinoli F, 2012, V32, P165, DOI 10.1016/j.neunet.2012.02.012"
"Fitch, WT|Friederici, AD","Fitch, W. Tecumseh|Friederici, Angela D.",1933,10.1098/rstb.2012.0103,0962-8436,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,CONTEXT-FREE GRAMMARS |BROCAS AREA |SYNTACTIC STRUCTURES |BRAIN POTENTIALS |WORKING-MEMORY |SENTENCE COMPREHENSION |CORTICAL ORGANIZATION |CONSTITUENT STRUCTURE |ANIMAL COMMUNICATION |ARCUATE FASCICULUS,artificial grammar learning|formal language theory|comparative neuroscience|neurolinguistics,2012,Biology,31,Artificial grammar learning meets formal language theory: an overview,WOS:000305293500002,1,367,22688631,D:\Users\mginda\Desktop\savedrecs(10).txt,"Fitch WT, 2012, V367, P1933, DOI 10.1098/rstb.2012.0103"
"Petersson, KM|Hagoort, P","Petersson, Karl Magnus|Hagoort, Peter",1971,10.1098/rstb.2012.0101,0962-8436,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,EMBEDDED ENGLISH SENTENCES |ARTIFICIAL GRAMMAR |DYNAMICAL-SYSTEMS |FUNCTIONAL MRI |WORKING-MEMORY |HUMAN LANGUAGE |BROCAS REGION |COMPREHENSION |BRAIN |ANALOG,implicit artificial grammar learning|fMRI|repeated transcranial magnetic stimulation|language-related genes|CNTNAP2|spiking neural networks,2012,Biology,14,The neurobiology of syntax: beyond string sets,WOS:000305293500004,1,367,22688633,D:\Users\mginda\Desktop\savedrecs(10).txt,"Petersson KM, 2012, V367, P1971, DOI 10.1098/rstb.2012.0101"
"Stobbe, N|Westphal-Fitch, G|Aust, U|Fitch, WT","Stobbe, Nina|Westphal-Fitch, Gesche|Aust, Ulrike|Fitch, W. Tecumseh",1995,10.1098/rstb.2012.0096,0962-8436,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,PATTERN-RECOGNITION |NONHUMAN PRIMATE |LANGUAGE |DISCRIMINATION |INFANTS |CONSTRAINTS |ACQUISITION |STARLINGS |SONGBIRDS |EXCLUSION,artificial grammar learning|formal language theory|pattern learning|visual stimuli|simultaneous presentation|comparative research,2012,Biology,12,"Visual artificial grammar learning: comparative research on humans, kea (Nestor notabilis) and pigeons (Columba livia)",WOS:000305293500006,1,367,22688635,D:\Users\mginda\Desktop\savedrecs(10).txt,"Stobbe N, 2012, V367, P1995, DOI 10.1098/rstb.2012.0096"
"Makuuchi, M|Bahlmann, J|Friederici, AD","Makuuchi, Michiru|Bahlmann, Joerg|Friederici, Angela D.",2033,10.1098/rstb.2012.0095,0962-8436,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,INFERIOR FRONTAL JUNCTION |VENTRAL PREMOTOR CORTEX |COGNITIVE CONTROL |BROCAS AREA |SENTENCE COMPREHENSION |PSYCHOLOGICAL REALITY |PREFRONTAL CORTEX |NEURAL BASIS |HUMAN BRAIN |LOCALIZATION,arithmetic|complex cognition|functional magnetic resonance imaging|sentence processing,2012,Biology,8,An approach to separating the levels of hierarchical structure building in language and mathematics,WOS:000305293500009,1,367,22688638,D:\Users\mginda\Desktop\savedrecs(10).txt,"Makuuchi M, 2012, V367, P2033, DOI 10.1098/rstb.2012.0095"
"Poletiek, FH|Lai, J","Poletiek, Fenna H.|Lai, Jun",2046,10.1098/rstb.2012.0100,0962-8436,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,LANGUAGE-ACQUISITION |GRAMMAR |LEARNABILITY |FACULTY |BRAIN,language acquisition|semantic biases|statistical learning,2012,Biology,2,How semantic biases in simple adjacencies affect learning a complex structure with non-adjacencies in AGL: a statistical account,WOS:000305293500010,1,367,22688639,D:\Users\mginda\Desktop\savedrecs(10).txt,"Poletiek FH, 2012, V367, P2046, DOI 10.1098/rstb.2012.0100"
"Altmann, EG|Cristadoro, G|Esposti, MD","Altmann, Eduardo G.|Cristadoro, Giampaolo|Esposti, Mirko Degli",11582,10.1073/pnas.1117723109,0027-8424,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,FRACTAL CORRELATIONS |KEYWORD DETECTION |SYMBOL SEQUENCES |LITERARY CORPORA |1/F NOISE |LANGUAGE |DNA |SPEECH |MEMORY,complex systems|language dynamics|long correlations|statistical physics|burstiness,2012,Multidisciplinary Sciences,12,On the origin of long-range correlations in texts,WOS:000306837100026,1,109,22753514,D:\Users\mginda\Desktop\savedrecs(10).txt,"Altmann EG, 2012, V109, P11582, DOI 10.1073/pnas.1117723109"
"Jones, LL|Golonka, S","Jones, Lara L.|Golonka, Sabrina",,10.3389/fnhum.2012.00205,1662-5161,FRONTIERS IN HUMAN NEUROSCIENCE,CONCEPTUAL COMBINATION |SEMANTIC RELATIONS |CATEGORIES |KNOWLEDGE |SIMILARITY |RECOGNITION |DECISION |MEMORY |WORDS |REPRESENTATIONS,semantic priming|taxonomic|thematic|integrative|relational representation,2012,Neurosciences|Psychology,5,"Different influences on lexical priming for integrative, thematic, and taxonomic relations",WOS:000306318400001,1,6,22798950,D:\Users\mginda\Desktop\savedrecs(10).txt,"Jones LL, 2012, V6, DOI 10.3389/fnhum.2012.00205"
